source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
data_prices_cleaned,912,apartment,Sousse,Chatt Mariem,Chatt Mariem,"Sousse,Chatt mariem",140.0,3.0,2.0,340000.0
data_prices_cleaned,913,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",60.0,2.0,1.0,255000.0
data_prices_cleaned,914,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",126.0,2.0,1.0,180000.0
data_prices_cleaned,917,house,Nabeul,Hammamet,Hammamet,"Nabeul,Hammamet",260.0,1.0,1.0,320000.0
data_prices_cleaned,918,apartment,Tunis,L Aouina,L Aouina,"Tunis,L Aouina",125.0,2.0,1.0,350000.0
data_prices_cleaned,922,house,Ariana,Mnihla,Mnihla,"Ariana,Mnihla",157.0,9.0,3.0,340000.0
data_prices_cleaned,923,house,Sousse,Kala Kebira,Kala Kebira,"Sousse,Kala Kebira",492.0,3.0,4.0,780000.0
data_prices_cleaned,927,house,Ben Arous,Boumhel,Boumhel,"Ben Arous,Boumhel",260.0,2.0,2.0,389999.0
data_prices_cleaned,928,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",140.0,3.0,1.0,175000.0
data_prices_cleaned,930,apartment,Sousse,Sousse Riadh,Sousse Riadh,"Sousse,Sousse Riadh",76.0,2.0,1.0,214200.0
data_prices_cleaned,931,apartment,Sousse,Hergla,Hergla,"Sousse,Hergla",60.0,1.0,1.0,170000.0
data_prices_cleaned,933,apartment,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",150.0,1.0,3.0,299000.0
data_prices_cleaned,934,house,Sousse,Zaouit Ksibat Thrayett,Zaouit Ksibat Thrayett,"Sousse,Zaouit Ksibat Thrayett",380.0,3.0,1.0,250000.0
data_prices_cleaned,935,apartment,Sousse,Sousse,Sousse,"Sousse,Sousse",135.0,2.0,1.0,266000.0
data_prices_cleaned,937,house,Sousse,Sousse Jawhara,Sousse Jawhara,"Sousse,Sousse Jawhara",1220.0,7.0,2.0,1400000.0
data_prices_cleaned,938,apartment,Tunis,El Menzah 9,El Menzah 9,"Tunis,El Menzah 9",173.0,3.0,3.0,500000.0
data_prices_cleaned,939,apartment,Sousse,Sousse Jawhara,Sousse Jawhara,"Sousse,Sousse Jawhara",95.0,2.0,1.0,250000.0
data_prices_cleaned,940,house,Sousse,Sousse Mdina,Sousse Mdina,"Sousse,Sousse Mdina",196.0,2.0,1.0,269998.0
data_prices_cleaned,941,house,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",310.0,5.0,2.0,900000.0
data_prices_cleaned,946,house,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",347.0,4.0,2.0,775000.0
data_prices_cleaned,947,house,Monastir,Sayada Lamta Bou_hajar,Sayada Lamta Bou_hajar,"Monastir,Sayada Lamta Bou_Hajar",380.0,3.0,2.0,398000.0
data_prices_cleaned,948,apartment,Sousse,Sousse,Sousse,"Sousse,Sousse",76.0,2.0,1.0,279000.0
data_prices_cleaned,950,house,Sousse,Sousse,Sousse,"Sousse,Sousse",150.0,2.0,1.0,162000.0
data_prices_cleaned,952,apartment,Sousse,Sousse,Sousse,"Sousse,Sousse",132.0,1.0,1.0,187000.0
data_prices_cleaned,953,house,Sousse,Sousse,Sousse,"Sousse,Sousse",300.0,3.0,2.0,495000.0
data_prices_cleaned,954,apartment,Sousse,Sousse,Sousse,"Sousse,Sousse",95.0,2.0,1.0,255000.0
data_prices_cleaned,955,apartment,Sousse,Sousse,Sousse,"Sousse,Sousse",120.0,2.0,1.0,90000.0
data_prices_cleaned,956,house,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",160.0,2.0,1.0,210000.0
data_prices_cleaned,962,apartment,Nabeul,Bni Khiar,Bni Khiar,"Nabeul,Bni Khiar",55.0,1.0,1.0,155000.0
data_prices_cleaned,964,house,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",430.0,5.0,6.0,1600000.0
data_prices_cleaned,966,house,Sousse,Khzema,Khzema,"Sousse,Khzema",450.0,5.0,5.0,1300000.0
data_prices_cleaned,967,house,Sousse,Hergla,Hergla,"Sousse,Hergla",600.0,7.0,4.0,1420000.0
data_prices_cleaned,968,apartment,Sousse,Chatt Mariem,Chatt Mariem,"Sousse,Chatt mariem",120.0,2.0,1.0,500000.0
data_prices_cleaned,973,house,Sousse,Sousse Riadh,Sousse Riadh,"Sousse,Sousse Riadh",192.0,2.0,1.0,198000.0
data_prices_cleaned,974,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",243.0,6.0,3.0,950000.0
data_prices_cleaned,975,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",160.0,3.0,2.0,499998.0
data_prices_cleaned,978,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",120.0,2.0,1.0,150000.0
data_prices_cleaned,979,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",100.0,2.0,1.0,250001.0
data_prices_cleaned,980,apartment,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",120.0,3.0,1.0,350000.0
data_prices_cleaned,982,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",700.0,8.0,3.0,1450000.0
data_prices_cleaned,985,apartment,Sousse,Sousse Corniche,Sousse Corniche,"Sousse,Sousse corniche",131.0,2.0,1.0,450000.0
data_prices_cleaned,986,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",102.0,2.0,1.0,180000.0
data_prices_cleaned,988,apartment,Ariana,Dar Fadhal,Dar Fadhal,"Ariana,Dar Fadhal",130.0,3.0,2.0,410000.0
data_prices_cleaned,991,house,Ben Arous,Borj Cedria,Borj Cedria,"Ben Arous,Borj Cedria",363.0,3.0,2.0,480000.0
data_prices_cleaned,992,house,Nabeul,Hammamet,Hammamet,"Nabeul,Hammamet",120.0,3.0,1.0,120000.0
